model,age,bmi,children,smoker,sex,region,predicted_charge,confidence_interval
ridge,18,30,4,yes,male,southeast,27441.7536880149,"($16077.09, $38806.42)"
stacking,18,32,8,yes,male,southeast,42856.838,"($27480.67, $58233.00)"
